sale_id,customer_id,product_id,sale_date,quantity,total_amount
S0001,C089,P059,2024-07-19,2,1195.96
S0002,C044,P057,2024-02-23,5,2673.4
S0003,C082,P081,2024-06-06,2,1037.12
S0004,C058,P073,2024-09-04,4,2954.04
S0005,C088,P083,2024-12-13,1,874.38
S0006,C018,P067,2024-09-21,4,2482.68
S0007,C031,P003,2024-12-03,3,211.56
S0008,C080,P087,2024-04-27,1,855.94
S0009,C011,P036,2024-10-16,3,597.6
S0010,C055,P062,2024-02-14,5,4252.55
S0011,C035,P096,2024-03-20,3,839.37
S0012,C030,P005,2024-05-19,2,1303.92
S0013,C096,P065,2024-05-21,1,691.95
S0014,C072,P074,2024-02-16,3,2692.56
S0015,C051,P077,2024-10-20,5,1465.9
S0016,C045,P076,2024-01-28,2,1103.06
S0017,C059,P062,2024-09-10,2,1701.02
S0018,C033,P028,2024-12-09,1,644.82
S0019,C013,P061,2024-12-08,4,2448.8
S0020,C001,P071,2024-08-30,1,953.95
S0021,C056,P077,2024-06-08,3,879.54
S0022,C096,P037,2024-04-15,2,1975.74
S0023,C089,P047,2024-11-22,5,973.55
S0024,C018,P037,2024-08-07,2,1975.74
S0025,C098,P100,2024-12-13,1,864.86
S0026,C077,P014,2024-02-28,1,671.84
S0027,C039,P018,2024-07-21,5,1346.8
S0028,C005,P069,2024-02-21,2,1993.96
S0029,C030,P064,2024-01-27,1,713.94
S0030,C026,P038,2024-04-10,3,296.82
S0031,C046,P004,2024-11-22,4,1349.32
S0032,C066,P075,2024-08-15,2,1976.6
S0033,C071,P032,2024-07-17,4,1289.64
S0034,C048,P022,2024-02-26,3,2157.36
S0035,C095,P027,2024-09-25,5,2706.8
S0036,C037,P064,2024-07-20,3,2141.82
S0037,C048,P075,2024-11-09,5,4941.5
S0038,C073,P066,2024-03-22,1,491.73
S0039,C051,P100,2024-07-09,3,2594.58
S0040,C077,P027,2024-04-17,1,541.36
S0041,C069,P048,2024-11-12,4,3991.44
S0042,C005,P092,2024-09-08,4,3710.04
S0043,C035,P059,2024-12-26,1,597.98
S0044,C072,P086,2024-11-19,4,2761.92
S0045,C010,P030,2024-12-15,4,488.68
S0046,C061,P049,2024-07-26,3,1124.61
S0047,C018,P017,2024-03-18,5,739.45
S0048,C073,P057,2024-08-12,2,1069.36
S0049,C031,P066,2024-08-31,2,983.46
S0050,C076,P006,2024-03-28,4,957.04
S0051,C048,P026,2024-08-31,3,1722.87
S0052,C079,P082,2024-05-16,2,486.08
S0053,C081,P075,2024-01-22,2,1976.6
S0054,C063,P053,2024-12-15,3,1596.93
S0055,C072,P008,2024-08-12,3,2176.92
